name,region,address,type1,type2,lon,lat
수내2동 파크타운 삼익아파트 모든 동 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 내정로166번길 42,실외,건물주변,127.1203364,37.37087524
수내2동 파크타운 서안아파트 모든 동 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 수내로 148,실외,건물주변,127.1238276,37.37254484
수내동 푸른마을 벽산아파트 201동앞 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 수내로 174,실내,지하,127.1246247,37.36982741
양지마을 청구2단지 208동 앞 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 내정로 185,실내,지하,127.1193305,37.37514171
정자역 환승 공영주차장,성남시 분당구,경기 성남시 분당구 성남대로331번길 6,실내,지하,127.107266,37.36573124
정자동공영주차장,성남시 분당구,경기 성남시 분당구 정자동 72,실내,지하,127.1120383,37.37142491
한국잡월드 주차장,성남시 분당구,경기 성남시 분당구 정자동 4-6,실외,야외시설,127.1055861,37.37771189
분당서울대학교병원 헬스케어혁신 파크 주차장,성남시 분당구,경기 성남시 분당구 돌마로 172,실내,지하,127.1209792,37.35422361
킨스타워 주차장,성남시 분당구,경기 성남시 분당구 성남대로331번길 8,실내,지상,127.1063066,37.36587537
카카오T 정자엠코헤리츠 3단지 주차장,성남시 분당구,경기 성남시 분당구 정자일로 136,실내,지하,127.1068377,37.36222574
인텔리지2타운 주차장,성남시 분당구,경기 성남시 분당구 정자일로 177,실외,건물주변,127.1053569,37.3664718
정자전원마을 공영주차장,성남시 분당구,경기 성남시 분당구 정자동 239,실내,지하,127.1243213,37.35902443
카카오 T 정자엠코헤리츠 2단지 주차장,성남시 분당구,경기 성남시 분당구 정자일로 140,실내,지하,127.1068608,37.36260865
정자2동 행정복지센터 노상주차장,성남시 분당구,경기 성남시 분당구 내정로 66,미분류,미분류,127.1152679,37.36600484
정자2동 행정복지센터 지하주차장,성남시 분당구,경기 성남시 분당구 내정로 66,실내,지하,127.1152679,37.36600484
백궁동양파라곤오피스텔 주차장,성남시 분당구,경기 성남시 분당구 느티로 22,실내,지상,127.1072389,37.36810277
카카오T 정자역엠코헤리츠1단지 주차장,성남시 분당구,경기 성남시 분당구 정자일로 146,실내,지하,127.1068703,37.36298257
두산위브파빌리온 주차장,성남시 분당구,경기 성남시 분당구 정자동 7,실외,건물주변,127.1075938,37.37155518
정자역AK와이즈플레이스오피스텔 주차장,성남시 분당구,경기 성남시 분당구 느티로 2,실내,지하,127.1051134,37.36832723
폴라리스1빌딩 주차장,성남시 분당구,경기 성남시 분당구 성남대로 381,실내,지하,127.107346,37.37036875
카카오T 정자엠코헤리츠 4단지 주차장,성남시 분당구,경기 성남시 분당구 정자일로 132,실내,지하,127.106826,37.36194463
정자1동 행정복지센터 노상주차장,성남시 분당구,경기 성남시 분당구 정자동 147,골목길,상가,127.1115461,37.36155103
미켈란쉐르빌 상가동 주차장,성남시 분당구,경기 성남시 분당구 정자일로 100,실내,지하,127.1066568,37.35886237
서울24시감자탕해장국 정자2호점 주차장,성남시 분당구,경기 성남시 분당구 내정로107번길 2,실내,지하,127.1145243,37.36992682
대림아크로텔오피스텔 주차장,성남시 분당구,경기 성남시 분당구 성남대로 295,실내,지하,127.1073704,37.36216759
정자1동 노상공영주차장,성남시 분당구,경기 성남시 분당구 정자동 189-7,실외,노상,127.1109119,37.36167957
백궁지엔느 주차장,성남시 분당구,경기 성남시 분당구 정자일로 227,실내,지상,127.1055568,37.37054877
젤존타워 제1민영 주차장,성남시 분당구,경기 성남시 분당구 느티로 16,실내,지하,127.106294,37.36816129
더채움,성남시 분당구,경기 성남시 분당구 정자일로198번길 2,실외,건물주변,127.1061094,37.36773347
분당도서관 부설주차장,성남시 분당구,경기 성남시 분당구 불정로 50,실내,지하,127.1172111,37.35829645
정자유스센터 주차장,성남시 분당구,경기 성남시 분당구 정자동 6-1 지하1층,실외,건물주변,127.1065544,37.3726815
대명제스트빌딩 주차장,성남시 분당구,경기 성남시 분당구 성남대로331번길 3-13,실내,지상,127.107684,37.36437933
삼성아데나루체 주차장,성남시 분당구,경기 성남시 분당구 정자일로 120,실외,건물주변,127.1065645,37.36145741
금산주차프라자,성남시 분당구,경기 성남시 분당구 내정로17번길 4-11,실내,지하,127.1138245,37.36260666
한국잡월드 제2주차장,성남시 분당구,경기 성남시 분당구 분당수서로 501,실외,야외시설,127.1062078,37.37747076
한국잡월드 제1주차장,성남시 분당구,경기 성남시 분당구 분당수서로 501,미분류,미분류,127.106277,37.37849786
그린팩토리 주차장,성남시 분당구,경기 성남시 분당구 불정로 6,실내,지하,127.1057985,37.3593569
